id,title,year,authors,venue,entityUrl
1282,Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries,2001,"Anna C. Gilbert, Yannis Kotidis, S. Muthukrishnan, Martin Strauss",Very Large Data Bases,672174
1283,Data Staging for On-Demand Broadcast,2001,"Demet Aksoy, Michael J. Franklin, Stanley B. Zdonik",Very Large Data Bases,672046
1284,Data Management for Pervasive Computing,2001,"Mitch Cherniack, Michael J. Franklin, Stanley B. Zdonik",Very Large Data Bases,672180
1285,Flexible and scalable digital library search,2001,"Henk Ernst Blok, Menzo Windhouwer, Roelof van Zwol, Milan Petkovic, Peter M. G. Apers, Martin L. Kersten, Willem Jonker",Very Large Data Bases,672179
1286,Indexing the Distance: An Efficient Method to KNN Processing,2001,"Cui Yu, Beng Chin Ooi, Kian-Lee Tan, H. V. Jagadish",Very Large Data Bases,672178
1287,An Extendible Hash for Multi-Precision Similarity Querying of Image Databases,2001,"Shu Lin, M. Tamer &#214;zsu, Vincent Oria, Raymond T. Ng",Very Large Data Bases,672177
1288,Collaborative Analytical Processing - Dream or Reality? (Panel abstract),2001,"William O'Connell, Andrew Witkowski, Goetz Graefe",Very Large Data Bases,672185
1289,A Data Warehousing Architecture for Enabling Service Provisioning Process,2001,Yannis Kotidis,Very Large Data Bases,672183
1290,Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,2001,"Craig J. Bunker, Latha S. Colby, Richard L. Cole, William J. McKenna, Gopal Mulagund, David Wilhite",Very Large Data Bases,672182
1291,Self-similarity in the Web,2001,"Stephen Dill, Ravi Kumar, Kevin S. McCurley, Sridhar Rajagopalan, D. Sivakumar, Andrew Tomkins",Very Large Data Bases,672181
1292,Supervised Wrapper Generation with Lixto,2001,"Robert Baumgartner, Sergio Flesca, Georg Gottlob",Very Large Data Bases,672189
1293,Dynamic Pipeline Scheduling for Improving Interactive Query Performance,2001,"Tolga Urhan, Michael J. Franklin",Very Large Data Bases,672188
1294,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,2001,"Atsuyuki Morishima, Seiichi Koizumi, Hiroyuki Kitagawa, Satoshi Takano",Very Large Data Bases,672187
1295,The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,2001,"Jos&#233; Luis Ambite, Craig A. Knoblock, Mohammad R. Kolahdouzan, Maria Muslea, Cyrus Shahabi, Snehal Thakkar",Very Large Data Bases,672186
1296,Views in a Large Scale XML Repository,2001,"Sophie Cluet, Pierangelo Veltri, Dan Vodislav",Very Large Data Bases,672192
1297,Automated resolution of semantic heterogeneity in multidatabases,1994,"M. W. Bright, A. R. Hurson, S. Pakzad",ACM Transactions on Database Systems (TODS),176569
1298,Comparing Hybrid Peer-to-Peer Systems,2001,"Beverly Yang, Hector Garcia-Molina",Very Large Data Bases,672193
1299,Using semantic values to facilitate interoperability among heterogeneous information systems,1994,"Edward Sciore, Michael Siegel, Arnon Rosenthal",ACM Transactions on Database Systems (TODS),176570
1300,"Improving Business Process Quality through Exception Understanding, Prediction, and Prevention",2001,"Daniela Grigori, Fabio Casati, Umeshwar Dayal, Ming-Chien Shan",Very Large Data Bases,672190
1301,On completeness of historical relational query languages,1994,"James Clifford, Albert Croker, Alexander Tuzhilin",ACM Transactions on Database Systems (TODS),174642
1302,Generic Schema Matching with Cupid,2001,"Jayant Madhavan, Philip A. Bernstein, Erhard Rahm",Very Large Data Bases,672191
1303,Tools and transformations-rigorous and otherwise-for practical database design,1994,"Arnon Rosenthal, David Reiner",ACM Transactions on Database Systems (TODS),176568
1304,An Evaluation of Generic Bulk Loading Techniques,2001,"Jochen Van den Bercken, Bernhard Seeger",Very Large Data Bases,672197
1305,In memory of Bob Kooi (1951-1993),1994,Michael Stonebraker,ACM SIGMOD Record,181551
1306,Fast Evaluation Techniques for Complex Similarity Queries,2001,"Klemens B&#246;hm, Michael Mlivoncic, Hans-J&#246;rg Schek, Roger Weber",Very Large Data Bases,672198
1307,Observations on the ODMG-93 proposal for an object-oriented database language,1994,Won Kim,ACM SIGMOD Record,181552
1308,Visual Web Information Extraction with Lixto,2001,"Robert Baumgartner, Sergio Flesca, Georg Gottlob",Very Large Data Bases,672194
1309,Amalgamating knowledge bases,1994,V. S. Subrahmanian,ACM Transactions on Database Systems (TODS),176571
1310,WebFilter: A High-throughput XML-based Publish and Subscribe System,2001,"Jo&#227;o Pereira, Fran&#231;oise Fabret, Hans-Arno Jacobsen, Fran&#231;ois Llirbat, Dennis Shasha",Very Large Data Bases,672195
1311,Index structures for selective dissemination of information under the Boolean model,1994,"Tak W. Yan, H&#233;ctor Garc&#237;a-Molina",ACM Transactions on Database Systems (TODS),176573
1312,Ontology-based Support for Digital Government,2001,"Athman Bouguettaya, Ahmed K. Elmagarmid, Brahim Medjahed, M. Ouzzani",Very Large Data Bases,672201
1313,A Fast Index for Semistructured Data,2001,"Brian Cooper, Neal Sample, Michael J. Franklin, Gisli R. Hjaltason, Moshe Shadmon",Very Large Data Bases,672202
1314,The Propel Distributed Services Platform,2001,"Michael J. Carey, Steve Kirsch, Mary Roth, Bert Van der Linden, Nicolas Adiba, Michael Blow, Daniela Florescu, David Li, Ivan Oprencak, Rajendra Panwar, Runping Qi, David Rieber, John C. Shafer, Brian Sterling, Tolga Urhan, Brian Vickery, Dan Wineman, Kuan Yee",Very Large Data Bases,672199
1315,Approximate String Joins in a Database (Almost) for Free,2001,"Luis Gravano, Panagiotis G. Ipeirotis, H. V. Jagadish, Nick Koudas, S. Muthukrishnan, Divesh Srivastava",Very Large Data Bases,672200
1316,Change-Centric Management of Versions in an XML Warehouse,2001,"Am&#233;lie Marian, Serge Abiteboul, Gregory Cobena, Laurent Mignet",Very Large Data Bases,672205
1317,A taxonomy for secure object-oriented databases,1994,"Martin S. Olivier, Sebastiaan H. von Solms",ACM Transactions on Database Systems (TODS),174640
1318,VXMLR: A Visual XML-Relational Database System,2001,"Aoying Zhou, Hongjun Lu, Shihui Zheng, Yuqi Liang, Long Zhang, Wenyun Ji, Zengping Tian",Very Large Data Bases,672206
1319,A modified random perturbation method for database security,1994,"Patrick Tendick, Norman Matloff",ACM Transactions on Database Systems (TODS),174641
1320,Querying XML Views of Relational Data,2001,"Jayavel Shanmugasundaram, Jerry Kiernan, Eugene J. Shekita, Catalina Fan, John Funderburk",Very Large Data Bases,672203
1321,Hyperqueries: Dynamic Distributed Query Processing on the Internet,2001,"Alfons Kemper, Christian Wiesner",Very Large Data Bases,672204
1322,Altruistic locking,1994,"Kenneth Salem, H&#233;ctor Garc&#237;a-Molina, Jeannie Shands",ACM Transactions on Database Systems (TODS),174639
1323,WARLOCK: A Data Allocation Tool for Parallel Warehouses,2001,"Thomas St&#246;hr, Erhard Rahm",Very Large Data Bases,672208
1324,Discovery of Influence Sets in Frequently Updated Databases,2001,"Ioana Stanoi, Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",Very Large Data Bases,672207
1325,Operating System Extensions for the Teradata Parallel VLDB,2001,"John Catozzi, Sorana Rabinovici",Very Large Data Bases,672210
1326,Query Engines for Web-Accessible XML Data,2001,"Leonidas Fegaras, Ramez Elmasri",Very Large Data Bases,672209
1327,Warehousing Workflow Data: Challenges and Opportunities,2001,"Angela Bonifati, Fabio Casati, Umeshwar Dayal, Ming-Chien Shan",Very Large Data Bases,672212
1328,"Business Process Coordination: State of the Art, Trends, and Open Issues",2001,"Umeshwar Dayal, Meichun Hsu, Rivka Ladin",Very Large Data Bases,672211
1329,Analyzing Quantitative Databases: Image is Everything,2001,"Amihood Amir, Reuven Kashi, Nathan S. Netanyahu",Very Large Data Bases,672215
1330,Tavant System Architecture for Sell-side Channel Management,2001,"Srinivasa Narayanan, Subbu N. Subramanian",Very Large Data Bases,672213
1331,Efficient Progressive Skyline Computation,2001,"Kian-Lee Tan, Pin-Kwang Eng, Beng Chin Ooi",Very Large Data Bases,672217
1332,A Formal Perspective on the View Selection Problem,2001,"Rada Chirkova, Alon Y. Halevy, Dan Suciu",Very Large Data Bases,672216
1333,Online Scaling in a Highly Available Database,2001,"Svein Erik Bratsberg, Rune Humborstad",Very Large Data Bases,672348
1334,Dynamic Update Cube for Range-sum Queries,2001,"Seok-Ju Chun, Chin-Wan Chung, Ju-Hong Lee, Seok-Lyong Lee",Very Large Data Bases,672347
1335,Functional Properties of Information Filtering,2001,"Rie Sawai, Masahiko Tsukamoto, Yin-Huei Loh, Tsutomu Terada, Shojiro Nishio",Very Large Data Bases,672350
1336,LEO - DB2's LEarning Optimizer,2001,"Michael Stillger, Guy M. Lohman, Volker Markl, Mokhtar Kandil",Very Large Data Bases,672349
1337,Storage Service Providers: a Solution for Storage Management? (Panel),2001,"Banu &#214;zden, Eran Gabber, Bruce Hillyer, Wee Teck Ng, Elizabeth A. M. Shriver, David J. DeWitt, Bruce Gordon, Jim Gray, John Wilkes",Very Large Data Bases,672352
1338,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,2001,Phillip B. Gibbons,Very Large Data Bases,672351
1339,Are Web Services the Next Revolution in e-Commerce? (Panel),2001,"Shalom Tsur, Serge Abiteboul, Rakesh Agrawal, Umeshwar Dayal, Johannes Klein, Gerhard Weikum",Very Large Data Bases,672353
1340,SMOOTH - A Distributed Multimedia Database System,2001,"Harald Kosch, L&#225;szl&#243; B&#246;sz&#246;rm&#233;nyi, Alexander Bachlechner, Christian Hanin, Christian Hofbauer, Margit Lang, Carmen Riedler, Roland Tusch",Very Large Data Bases,672354
1341,Navigating large-scale semi-structured data in business portals,2001,"Man Abrol, Neil Latarche, Uma Mahadevan, Jianchang Mao, Rajat Mukherjee, Prabhakar Raghavan, Michel Tourn, John Wang, Grace Zhang",Very Large Data Bases,672355
1342,Approximate Query Processing: Taming the TeraBytes,2001,"Minos N. Garofalakis, Phillip B. Gibbon",Very Large Data Bases,672356
1343,User-Optimizer Communication using Abstract Plans in Sybase ASE,2001,"Mihnea Andrei, Patrick Valduriez",Very Large Data Bases,672357
1344,C2P: Clustering based on Closest Pairs,2001,"Alexandros Nanopoulos, Yannis Theodoridis, Yannis Manolopoulos",Very Large Data Bases,672358
1345,Caching Technologies for Web Applications,2001,C. Mohan,Very Large Data Bases,672360
1346,Developing an Indexing Scheme for XML Document Collection using the Oracle8i Extensibility Framework,2001,"Seema Sundara, Ying Hu, Timothy Chorma, Nipun Agarwal, Jagannathan Srinivasan",Very Large Data Bases,672361
1347,Update Propagation Strategies for Improving the Quality of Data on the Web,2001,"Alexandros Labrinidis, Nick Roussopoulos",Very Large Data Bases,672362
1348,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,2001,"Yufei Tao, Dimitris Papadias",Very Large Data Bases,672363
1349,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,2001,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",Very Large Data Bases,672364
1350,Supporting Incremental Join Queries on Ranked Inputs,2001,"Apostol Natsev, Yuan-Chi Chang, John R. Smith, Chung-Sheng Li, Jeffrey Scott Vitter",Very Large Data Bases,672365
1351,Intelligent Rollups in Multidimensional OLAP Data,2001,"Gayatri Sathe, Sunita Sarawagi",Very Large Data Bases,672366
1352,Weaving Relations for Cache Performance,2001,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill, Marios Skounakis",Very Large Data Bases,672367
1353,Answering XML Queries on Heterogeneous Data Sources,2001,"Ioana Manolescu, Daniela Florescu, Donald Kossmann",Very Large Data Bases,672368
1354,Architectures for Internal Web Services Deployment,2001,Oded Shmueli,Very Large Data Bases,672369
1355,CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,2000,"Guy Pardon, Gustavo Alonso",Very Large Data Bases,671860
1356,Concurrency in the Data Warehouse,2000,Richard Taylor,Very Large Data Bases,671859
1357,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,2000,"C. Mohan, Ron Barber, S. Watts, A. Somani, Markos Zaharioudakis",Very Large Data Bases,671858
1358,"Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)",2000,"Meridith A. Lane, James L. Edwards, Ebbe Nielsen",Very Large Data Bases,671857
1359,"Don't Be Lazy, Be Consistent: Postgres-R, A New Way to Implement Database Replication",2000,"Bettina Kemme, Gustavo Alonso",Very Large Data Bases,671855
1360,Focused Crawling Using Context Graphs,2000,"Michelangelo Diligenti, Frans Coetzee, Steve Lawrence, C. Lee Giles, Marco Gori",Very Large Data Bases,671854
1361,An Ultra Highly Available DBMS,2000,"Svein-Olaf Hvasshovd, Svein Erik Bratsberg, &#216;ystein Torbj&#248;rnsen",Very Large Data Bases,671853
1362,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,2000,"Kaushik Chakrabarti, Sharad Mehrotra",Very Large Data Bases,671852
1363,Hierarchical Compact Cube for Range-Max Queries,2000,"Sin Yeung Lee, Tok Wang Ling, Hua-Gang Li",Very Large Data Bases,671868
1364,Panel: Is Generic Metadata Management Feasible?,2000,"Philip A. Bernstein, Laura M. Haas, Matthias Jarke, Erhard Rahm, Gio Wiederhold",Very Large Data Bases,671867
1365,Linking Business to Deliver Value: A Data Management Challenge,2000,Anand Deshpande,Very Large Data Bases,671866
1366,Building Scalable Internet Applications with Oracle8i Server,2000,"Julie Basu, Jos&#233; Alberto Fern&#225;ndez, Olga Peschansky",Very Large Data Bases,671865
1367,Model-Based Information Integration in a Neuroscience Mediator System,2000,"Bertram Lud&#228;scher, Amarnath Gupta, Maryann E. Martone",Very Large Data Bases,671864
1368,The 3W Model and Algebra for Unified Data Mining,2000,"Theodore Johnson, Laks V. S. Lakshmanan, Raymond T. Ng",Very Large Data Bases,671863
1369,XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents,2000,"Michael J. Carey, Jerry Kiernan, Jayavel Shanmugasundaram, Eugene J. Shekita, Subbu N. Subramanian",Very Large Data Bases,671862
1370,"Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 1",2000,Hans-J&#246;rg Schek,Very Large Data Bases,671861
1371,Optimizing Multi-Feature Queries for Image Databases,2000,"Ulrich G&#252;ntzer, Wolf-Tilo Balke, Werner Kie&#223;ling",Very Large Data Bases,671875
1372,Practical Applications of Triggers and Constraints: Success and Lingering Issues (10-Year Award),2000,"Stefano Ceri, Roberta Cochrane, Jennifer Widom",Very Large Data Bases,671876
1373,Approximating Aggregate Queries about Web Pages via Random Walks,2000,"Ziv Bar-Yossef, Alexander Berg, Steve Chien, Jittat Fakcharoenphol, Dror Weitz",Very Large Data Bases,671873
1374,Optimizing Queries on Compressed Bitmaps,2000,"Sihem Amer-Yahia, Theodore Johnson",Very Large Data Bases,671874
1375,Work and Information Practices in the Sciences of Biodiversity,2000,Geoffrey C. Bowker,Very Large Data Bases,671871
1376,Integrating the UB-Tree into a Database System Kernel,2000,"Frank Ramsak, Volker Markl, Robert Fenk, Martin Zirkel, Klaus Elhardt, Rudolf Bayer",Very Large Data Bases,671872
1377,Rainbow: Distributed Database System for Classroom Education and Experimental Research,2000,"Abdelsalam Helal, Hua Li",Very Large Data Bases,671869
1378,Telcordia's Database Reconciliation and Data Quality Analysis Tool,2000,"Francesco Caruso, Munir Cochinwala, Uma Ganapathy, Gail Lalk, Paolo Missier",Very Large Data Bases,671870
1379,"Set Containment Joins: The Good, The Bad and The Ugly",2000,"Karthikeyan Ramasamy, Jignesh M. Patel, Jeffrey F. Naughton, Raghav Kaushik",Very Large Data Bases,672009
1380,What Happens During a Join? Dissecting CPU and Memory Optimization Effects,2000,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten",Very Large Data Bases,672010
1381,"Social, Educational, and Governmental Change Enabled through Information Technology",2000,"Krithi Ramamritham, Yeha El Atfi, Carlo Batini, Michael Eitan, Valerie Gregg, D. B. Phatak",Very Large Data Bases,672007
1382,Design and Implementation of a Genetic-Based Algorithm for Data Mining,2000,Sunil Choenni,Very Large Data Bases,672008
1383,Manipulating Interpolated Data is Easier than You Thought,2000,"St&#233;phane Grumbach, Philippe Rigaux, Luc Segoufin",Very Large Data Bases,672005
1384,Temporal Queries in OLAP,2000,"Alberto O. Mendelzon, Alejandro A. Vaisman",Very Large Data Bases,672006
1385,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,2000,"Chris Olston, Jennifer Widom",Very Large Data Bases,671877
1386,Oracle8i Index-Organized Table and Its Application to New Domains,2000,"Jagannathan Srinivasan, Souripriya Das, Chuck Freiwald, Eugene Inseok Chong, Mahesh Jagannath, Aravind Yalamanchi, Ramkumar Krishnan, Anh-Tuan Tran, Samuel DeFazio, Jayanta Banerjee",Very Large Data Bases,672004
1387,Hypothetical Queries in an OLAP Environment,2000,"Andrey Balmin, Thanos Papadimitriou, Yannis Papakonstantinou",Very Large Data Bases,672016
1388,Biodiversity Informatics Infrastructure: An Information Commons for the Biodiversity Community,2000,"Gladys A. Cotter, Barbara T. Bauldock",Very Large Data Bases,672015
1389,Demonstration: Enabling Scalable Online Personalization on the Web,2000,"Kaushik Dutta, Anindya Datta, Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas",Very Large Data Bases,672018
1390,ICICLES: Self-Tuning Samples for Approximate Query Answering,2000,"Venkatesh Ganti, Mong-Li Lee, Raghu Ramakrishnan",Very Large Data Bases,672017
1391,E.piphany Epicenter Technology Overview,2000,Sridhar Ramaswamy,Very Large Data Bases,672012
1392,Dynamic Maintenance of Wavelet-Based Histograms,2000,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",Very Large Data Bases,672011
1393,Information Integration: The MOMIS Project Demonstration,2000,"Domenico Beneventano, Sonia Bergamaschi, Silvana Castano, Alberto Corni, R. Guidetti, G. Malvezzi, Michele Melchiori, Maurizio Vincini",Very Large Data Bases,672014
1394,Computing Geographical Scopes of Web Resources,2000,"Junyan Ding, Luis Gravano, Narayanan Shivakumar",Very Large Data Bases,672013
1395,Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation,2001,"Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura",Very Large Data Bases,672024
1396,AgFlow: Agent-based Cross-Enterprise Workflow Management System,2001,"Liangzhao Zeng, Boualem Benatallah, Phuong Nguyen, Anne H. H. Ngu",Very Large Data Bases,672023
1397,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,2001,"Ilaria Bartolini, Paolo Ciaccia, Florian Waas",Very Large Data Bases,672026
1398,Crawling the Hidden Web,2001,"Sriram Raghavan, Hector Garcia-Molina",Very Large Data Bases,672025
1399,Caching Strategies for Data-Intensive Web Sites,2000,"Khaled Yagoub, Daniela Florescu, Val&#233;rie Issarny, Patrick Valduriez",Very Large Data Bases,672020
1400,Novel Approaches in Query Processing for Moving Object Trajectories,2000,"Dieter Pfoser, Christian S. Jensen, Yannis Theodoridis",Very Large Data Bases,672019
1401,Approximate Query Translation Across Heterogeneous Information Sources,2000,"Kevin Chen-Chuan Chang, Hector Garcia-Molina",Very Large Data Bases,672022
1402,The BT-tree: A Branched and Temporal Access Method,2000,"Linan Jiang, Betty Salzberg, David B. Lomet, Manuel Barrena Garc&#237;a",Very Large Data Bases,672021
1403,A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,2001,"Leonard Brown, Le Gruenwald",Very Large Data Bases,672032
1404,"Et tu, XML? The downfall of the relational empire (abstract)",2001,Philip Wadler,Very Large Data Bases,672033
1405,Estimating the Selectivity of XML Path Expressions for Internet Scale Applications,2001,"Ashraf Aboulnaga, Alaa R. Alameldeen, Jeffrey F. Naughton",Very Large Data Bases,672034
1406,Indexing and Querying XML Data for Regular Path Expressions,2001,"Quanzhong Li, Bongki Moon",Very Large Data Bases,672035
1407,Transaction Timestamping in (Temporal) Databases,2001,"Christian S. Jensen, David B. Lomet",Very Large Data Bases,672027
1408,Efficient Index Structures for String Databases,2001,"Tamer Kahveci, Ambuj K. Singh",Very Large Data Bases,672028
1409,Lineage Tracing for General Data Warehouse Transformations,2001,"Yingwei Cui, Jennifer Widom",Very Large Data Bases,672029
1410,A Database Index to Large Biological Sequences,2001,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",Very Large Data Bases,672030
1411,"Declarative Data Cleaning: Language, Model, and Algorithms",2001,"Helena Galhardas, Daniela Florescu, Dennis Shasha, Eric Simon, Cristian-Augustin Saita",Very Large Data Bases,672042
1412,A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services,2001,"Reza Sadri, Carlo Zaniolo, Amir M. Zarkesh, Jafar Adibi",Very Large Data Bases,672043
1413,Storage and Retrieval of XML Data Using Relational Databases,2001,"Surajit Chaudhuri, Kyuseok Shim",Very Large Data Bases,672044
1414,Potter's Wheel: An Interactive Data Cleaning System,2001,"Vijayshankar Raman, Joseph M. Hellerstein",Very Large Data Bases,672045
1415,LoPiX: A System for XML Data Integration and Manipulation,2001,Wolfgang May,Very Large Data Bases,672036
1416,SIT-IN: a Real-Life Spatio-Temporal Information System,2001,"Giuseppe Sindoni, Leonardo Tininini, Amedea Ambrosetti, Cristina Bedeschi, Stefano De Francisci, Orietta Gargano, Rossella Molinaro, Mario Paolucci, Paola Patteri, Pina Ticca",Very Large Data Bases,672039
1417,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,2001,"Wen-Syan Li, K. Sel&#231;uk Candan, Wang-Pin Hsiung, Oliver Po, Divyakant Agrawal, Qiong Luo, Wei-Kuang Waine Huang, Yusuf Akca, Cemal Yilmaz",Very Large Data Bases,672040
1418,Form-Based Proxy Caching for Database-Backed Web Sites,2001,"Qiong Luo, Jeffrey F. Naughton",Very Large Data Bases,672041
1419,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,1994,"Christine Collet, Thierry Coupaye, T. Svensen",Very Large Data Bases,673003
1420,Relating Distributed Objects,1994,"Bruce E. Martin, R. G. G. Cattell",Very Large Data Bases,673004
1421,Hilbert R-tree: An Improved R-tree using Fractals,1994,"Ibrahim Kamel, Christos Faloutsos",Very Large Data Bases,673001
1422,An Algebraic Approach to Rule Analysis in Expert Database Systems,1994,"Elena Baralis, Jennifer Widom",Very Large Data Bases,673002
1423,Declustering Databases on Heterogeneous Disk Systems,1995,"Ling Tony Chen, Doron Rotem, Sidhar Seshadri",Very Large Data Bases,673007
1424,Improving Performance in Replicated Databases through Relaxed Coherency,1995,"Rainer Gallersd&#246;rfer, Matthias Nicola",Very Large Data Bases,673130
1425,Towards Automated Performance Tuning for Complex Workloads,1994,"Kurt P. Brown, Manish Mehta, Michael J. Carey, Miron Livny",Very Large Data Bases,673005
1426,Near Neighbor Search in Large Metric Spaces,1995,Sergey Brin,Very Large Data Bases,673006
1427,The hcC-tree: An Efficient Index Structure for Object Oriented Databases,1994,"B. Sreenath, S. Seshadri",Very Large Data Bases,672995
1428,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,1994,"Theodore Johnson, Dennis Shasha",Very Large Data Bases,672996
1429,User Interfaces; Who Cares?,1994,Stefano Spaccapietra,Very Large Data Bases,672993
1430,"Composite Events for Active Databases: Semantics, Contexts and Detection",1994,"Sharma Chakravarthy, V. Krishnaprasad, Eman Anwar, S.-K. Kim",Very Large Data Bases,672994
1431,PC Database Systems - Present and Future,1994,Philip A. Bernstein,Very Large Data Bases,672999
1432,Dali: A High Performance Main Memory Storage Manager,1994,"H. V. Jagadish, Daniel F. Lieuwen, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,673000
1433,Materialization: A Powerful and Ubiquitous Abstraction Pattern,1994,"Alain Pirotte, Esteban Zim&#225;nyi, David Massart, Tatiana Yakusheva",Very Large Data Bases,672997
1434,Scientific Databases - State of the Art and Future Directions,1994,"Maria Zemankova, Yannis E. Ioannidis",Very Large Data Bases,672998
1435,Towards a Cooperative Transaction Model - The Cooperative Activity Model,1995,"Marek Rusinkiewicz, Wolfgang Klas, Thomas Tesch, J&#252;rgen W&#228;sch, Peter Muth",Very Large Data Bases,673142
1436,A Product Specification Database for Visual Prototyping,1995,"Kazutoshi Sumiya, Kouichi Yasutake, Hirohiko Tanaka, Norio Sanada, Yoshihiko Imai",Very Large Data Bases,673141
1437,Managing a DB2 Parallel Edition Database,1995,Gilles Fecteau,Very Large Data Bases,673140
1438,The Fittest Survives: An Adaptive Approach to Query Optimization,1995,"Hongjun Lu, Kian-Lee Tan, Son Dao",Very Large Data Bases,673139
1439,Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,1995,"A. Prasad Sistla, Clement T. Yu, Chengwen Liu, King Liu",Very Large Data Bases,673146
1440,Generalized Search Trees for Database Systems,1995,"Joseph M. Hellerstein, Jeffrey F. Naughton, Avi Pfeffer",Very Large Data Bases,673145
1441,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,1995,"Steven Milliner, Athman Bouguettaya, Mike P. Papazoglou",Very Large Data Bases,673144
1442,Coloring Away Communication in Parallel Query Optimization,1995,"Waqar Hasan, Rajeev Motwani",Very Large Data Bases,673143
1443,Discovery of Multiple-Level Association Rules from Large Databases,1995,"Jiawei Han, Yongjian Fu",Very Large Data Bases,673134
1444,Document Management as a Database Problem,1995,Rudolf Bayer,Very Large Data Bases,673133
1445,BigSur: A System For the Management of Earth Science Data,1995,"Paul Brown, Michael Stonebraker",Very Large Data Bases,673132
1446,Value-cognizant Speculative Concurrency Control,1995,"Azer Bestavros, Spyridon Braoudakis",Very Large Data Bases,673131
1447,Procedures in Object-Oriented Query Languages,1995,"Kazimierz Subieta, Yahiko Kambayashi, Jacek Leszczylowski",Very Large Data Bases,673138
1448,A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,1995,"N. Bassiliades, Ioannis P. Vlahavas",Very Large Data Bases,673137
1449,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response",1995,"Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen, Svein Erik Bratsberg, Per Holager",Very Large Data Bases,673136
1450,Benchmarking Spatial Join Operations with Spatial Output,1995,"Erik G. Hoel, Hanan Samet",Very Large Data Bases,673135
1451,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases",1995,"Rakesh Agrawal, King-Ip Lin, Harpreet S. Sawhney, Kyuseok Shim",Very Large Data Bases,673155
1452,The Oracle Warehouse,1995,Gary Hallmark,Very Large Data Bases,673156
1453,Querying Shapes of Histories,1995,"Rakesh Agrawal, Giuseppe Psaila, Edward L. Wimmers, Mohamed Za&#239;t",Very Large Data Bases,673157
1454,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,1995,"Kun-Lung Wu, Philip S. Yu, Jen-Yao Chung, James Z. Teng",Very Large Data Bases,673158
1455,Query Processing in Tertiary Memory Databases,1995,Sunita Sarawagi,Very Large Data Bases,673159
1456,A Data Transformation System for Biological Data Sources,1995,"Peter Buneman, Susan B. Davidson, Kyle Hart, G. Christian Overton, Limsoon Wong",Very Large Data Bases,673160
1457,"DB2 Common Server: Technology, Progress, &; Directions",1995,Bruce G. Lindsay,Very Large Data Bases,673161
1458,Dynamic Multi-Resource Load Balancing in Parallel Database Systems,1995,"Erhard Rahm, Robert Marek",Very Large Data Bases,673163
1459,Index Concurrency Control in Firm Real-Time Database Systems,1995,"Brajesh Goyal, Jayant R. Haritsa, S. Seshadri, V. Srinivasan",Very Large Data Bases,673147
1460,W3QS: A Query System for the World-Wide Web,1995,"David Konopnicki, Oded Shmueli",Very Large Data Bases,673148
1461,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,1995,"Frank Moser, Achim Kraiss, Wolfgang Klas",Very Large Data Bases,673149
