id,https://www.scads.de/movieBenchmark/ontology/primaryProfessions,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/birthYear,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
2435,"script_department,production_manager,miscellaneous",Teruyo Nogami,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0633987,,,,,,,,,
2436,actress,Hilda Plowright,1890-01-01,1973-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0687504,,,,,,,,,
2437,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6949172,0,"Drama,Musical",2017-01-01,58,Bully,Bully,,,
2438,actor,Terry Kelman,1947-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0446993,,,,,,,,,
2439,"actor,director",Hilly Hicks,1950-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0382859,,,,,,,,,
2440,"actor,writer",Wolfgang Völz,1930-01-01,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0905061,,,,,,,,,
2441,"writer,producer,director",Tom Patchett,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0665305,,,,,,,,,
2442,actress,Erzsi Pulay,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2352667,,,,,,,,,
2443,,Warren Tuaño,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9443256,,,,,,,,,
2444,actress,Madeleine Taylor Holmes,1914-01-01,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0391942,,,,,,,,,
2445,"producer,writer,director",Frank Pugliese,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0961577,,,,,,,,,
2446,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604419,0,"Crime,Drama,Mystery",1998-01-01,,Something Sacred: Part 1,Something Sacred: Part 1,12,6,
2447,"music_department,composer,soundtrack",Douglas J. Cuomo,1958-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0192514,,,,,,,,,
2448,"music_department,soundtrack,composer",Éric Serra,1959-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0785385,,,,,,,,,
2449,"actor,miscellaneous,writer",Harlan Warde,1917-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0911966,,,,,,,,,
2450,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt3326204,0,Drama,2014-01-01,48,Chapter 25,Chapter 25,12,2,
2451,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630955,0,Drama,1954-01-01,30,Something Always Happens,Something Always Happens,35,1,
2452,"composer,music_department",Afshin Azizi,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4905809,,,,,,,,,
2453,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt8842110,0,"Action,Adventure,Animation",2018-01-01,23,Arrears in Science,Arrears in Science,3,7,
2454,actress,Virginia Christine,1920-01-01,1996-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0160417,,,,,,,,,
2455,"actor,soundtrack,producer",James Gregory,1911-01-01,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0339834,,,,,,,,,
2456,actor,Luis Chao,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1225349,,,,,,,,,
2457,actress,Jesslyn Fax,1893-01-01,1975-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0269537,,,,,,,,,
2458,"actor,producer,writer",Michael Landon,1936-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001446,,,,,,,,,
2459,"actress,producer",Barbara Steele,1937-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0824489,,,,,,,,,
2460,"writer,producer,miscellaneous",David Hines,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0385653,,,,,,,,,
2461,"actor,stunts",Roger Mobley,1949-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0595040,,,,,,,,,
2462,actor,Norman Kerry,1894-01-01,1956-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0449908,,,,,,,,,
2463,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0977996,0,Comedy,1992-01-01,,Fete Worse Than Hilda,Fete Worse Than Hilda,1,3,
2464,actor,Kevin Duhaney,1984-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0216594,,,,,,,,,
2465,"actor,soundtrack",Charles Herbert,1948-01-01,2015-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0378517,,,,,,,,,
2466,actor,Charles Boaz,1919-01-01,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0090253,,,,,,,,,
2467,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0106028,0,"Crime,Drama,Mystery",1993-01-01,60,Homicide: Life on the Street,Homicide: Life on the Street,,,1999-01-01
2468,"producer,production_manager,camera_department",David M. Barsky,1970-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0058296,,,,,,,,,
2469,actor,Derek Sydney,1920-01-01,2000-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0842985,,,,,,,,,
2470,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0883882,0,"Animation,Comedy,Fantasy",1994-01-01,21,Hunted,Hunted,11,2,
2471,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0596833,0,Adventure,1958-01-01,30,The Biggest Fight,The Biggest Fight,17,1,
2472,"director,producer,actor",Neill Fearnley,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0269899,,,,,,,,,
2473,,Ami Sinay,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3098254,,,,,,,,,
2474,actor,Harry Jackson,1923-01-01,1973-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0413575,,,,,,,,,
2475,actor,Judson Pratt,1916-01-01,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0695489,,,,,,,,,
2476,"director,producer,writer",Neasa Hardiman,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1450065,,,,,,,,,
2477,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt3221270,0,Drama,2014-01-01,52,Chapter 23,Chapter 23,10,2,
2478,"writer,producer,miscellaneous",Laurence Heath,1928-01-01,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0372677,,,,,,,,,
2479,actor,William Colgate,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0171441,,,,,,,,,
2480,actor,Nick Muncey,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm8831504,,,,,,,,,
2481,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630918,0,Drama,1955-01-01,30,My Uncle O'Moore,My Uncle O'Moore,4,3,
2482,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0353685,0,"Action,Animation,Drama",2002-01-01,150,Macross Zero,Macross Zero,,,
2483,actor,Kristoffer Andersen,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm6918397,,,,,,,,,
2484,"producer,director,miscellaneous",Gary Fleder,1965-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001219,,,,,,,,,
2485,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829707,0,Reality-TV,2006-01-01,44,Parade Float Dismantler,Parade Float Dismantler,11,2,
2486,actor,Jacko,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2476236,,,,,,,,,
2487,writer,Yukito Kizawa,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4006402,,,,,,,,,
2488,"miscellaneous,writer,script_department",Margaret Buell Wilder,1904-01-01,1992-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0928603,,,,,,,,,
2489,"director,actor,writer",Tod Browning,1880-01-01,1962-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0115218,,,,,,,,,
2490,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604414,0,"Crime,Drama,Mystery",1999-01-01,,Sideshow,Sideshow,15,7,
2491,actor,Felix Locher,1882-01-01,1969-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0516646,,,,,,,,,
2492,"actor,soundtrack",Robert Rockwell,1916-01-01,2003-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0734352,,,,,,,,,
2493,"producer,writer,director",Thomas Levenson,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0505274,,,,,,,,,
2494,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551430,0,Comedy,2004-01-01,29,Wandering Bear,Wandering Bear,8,4,
2495,soundtrack,Jackson 5,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1917778,,,,,,,,,
2496,"art_department,production_designer",François Debacker,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9331852,,,,,,,,,
2497,actress,Edith Evanson,1896-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0263330,,,,,,,,,
2498,"producer,writer,director",Riku Rantala,1974-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1391261,,,,,,,,,
2499,"actor,producer",Jan-Michael Vincent,1945-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001821,,,,,,,,,
2500,"actor,soundtrack",Sabri Saad El-Hamus,1957-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0359112,,,,,,,,,
2501,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630950,0,Drama,1955-01-01,30,Slander,Slander,10,3,
2502,"actor,composer",Juan Carlos Salazar,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0757709,,,,,,,,,
2503,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1049249,0,Comedy,2007-01-01,30,Meet the Blacks,Meet the Blacks,1,6,
2504,actor,James Holden,1920-01-01,2005-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0390204,,,,,,,,,
2505,,Wendy Grossman,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2342638,,,,,,,,,
2506,"actor,soundtrack",Simon Oakland,1915-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0643000,,,,,,,,,
2507,"editor,editorial_department,producer",James Bredin,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0106636,,,,,,,,,
2508,actor,Ronald Numkina,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7890540,,,,,,,,,
2509,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604396,0,"Crime,Drama,Mystery",1996-01-01,,Map of the Heart,Map of the Heart,19,4,
2510,"producer,writer,miscellaneous",Jorge Zamacona,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0952502,,,,,,,,,
2511,"actor,miscellaneous,soundtrack",Benson Fong,1916-01-01,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0284538,,,,,,,,,
2512,"actor,writer,producer",Hal Lublin,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1386066,,,,,,,,,
2513,"composer,music_department,soundtrack",Andrea Morricone,1964-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0606297,,,,,,,,,
2514,writer,Ken Englund,1914-01-01,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0257700,,,,,,,,,
2515,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0601235,0,Comedy,2005-01-01,,Record Breakers,Record Breakers,2,1,
2516,composer,Roman Ledenyov,1930-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0496436,,,,,,,,,
2517,actress,Rosemary Edelman,1935-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0249001,,,,,,,,,
2518,"actress,writer,producer",Susie Essman,1955-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0261435,,,,,,,,,
2519,actor,Maurice Marsac,1915-01-01,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0550342,,,,,,,,,
2520,"actor,music_department,producer",Carroll O'Connor,1924-01-01,2001-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0005279,,,,,,,,,
2521,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630913,0,Drama,1959-01-01,30,Mr. Wilson's Wife: Part 2,Mr. Wilson's Wife: Part 2,27,6,
2522,"actress,soundtrack",Mayumi Tanaka,1955-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0849028,,,,,,,,,
2523,actor,Donald Murphy,1918-01-01,2008-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0614217,,,,,,,,,
2524,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829702,0,Reality-TV,2005-01-01,,Dirtiest Water Jobs,Dirtiest Water Jobs,15,1,
2525,"production_designer,art_department",Heinz Leuendorf,1921-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0504885,,,,,,,,,
2526,"producer,director,miscellaneous",Edwin Sherin,1930-01-01,2017-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0792309,,,,,,,,,
2527,actress,Kay Hammond,1909-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358723,,,,,,,,,
2528,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631057,0,Drama,1955-01-01,30,Tropical Secretary,Tropical Secretary,11,3,
2529,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604359,0,"Crime,Drama,Mystery",1993-01-01,,A Dog and Pony Show,A Dog and Pony Show,6,1,
2530,"actor,producer,writer",Gus Sorola,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1559903,,,,,,,,,
2531,"actress,make_up_department",Michelle Wild,1980-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1211617,,,,,,,,,
2532,composer,Michael Austin,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3731457,,,,,,,,,
2533,"editor,editorial_department,writer",Rene Tala,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0847772,,,,,,,,,
2534,actress,Antoinette Bower,1932-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0100949,,,,,,,,,
2535,,Steve Densmore,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3098402,,,,,,,,,
2536,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657714,0,"Adventure,Drama,Family",1962-01-01,30,The Star,The Star,18,2,
2537,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630895,0,Drama,1957-01-01,30,Legacy,Legacy,29,4,
2538,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1546060,0,Documentary,2009-01-01,87,Together,Zajedno,,,
2539,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0642138,0,"Biography,Comedy,Documentary",2003-01-01,,Charles Darwin,Charles Darwin,5,1,
2540,actor,Park Ji-bin,1995-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1594540,,,,,,,,,
2541,"actress,soundtrack",Julie London,1926-01-01,2000-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0518728,,,,,,,,,
2542,,Misti Ates,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7372930,,,,,,,,,
2543,"producer,writer,miscellaneous",Jon Hayman,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0371351,,,,,,,,,
2544,"actor,soundtrack",Anthony Caruso,1916-01-01,2003-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0142273,,,,,,,,,
2545,"actor,producer,soundtrack",Scoot McNairy,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1058940,,,,,,,,,
2546,,Nick Pullar,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2364072,,,,,,,,,
2547,"actor,miscellaneous,casting_director",Michael Donovan,1953-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0233036,,,,,,,,,
2548,cinematographer,Daniel Bach,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5077243,,,,,,,,,
2549,"producer,director",Michael Morris,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2385621,,,,,,,,,
2550,actress,Bryn McAuley,1989-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0564167,,,,,,,,,
2551,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604391,0,"Crime,Drama,Mystery",1998-01-01,,La Famiglia,La Famiglia,1,7,
2552,actress,Joanna Barnes,1934-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0055645,,,,,,,,,
2553,actor,Uros Kravljaca,1928-01-01,2003-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0470433,,,,,,,,,
2554,actress,Marya Stevens,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0828614,,,,,,,,,
2555,actress,Therese Lyon,1887-01-01,1975-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0528988,,,,,,,,,
2556,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0354167,0,Drama,1966-01-01,72,Das verräterische Licht,Das verräterische Licht,3,4,
2557,actor,Milton Selzer,1918-01-01,2006-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0783670,,,,,,,,,
2558,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657696,0,"Adventure,Drama,Family",1961-01-01,30,The Efficiency Expert,The Efficiency Expert,32,1,
2559,"producer,writer",Dan Simon,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7450907,,,,,,,,,
2560,,Neil Mogridge,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3777189,,,,,,,,,
2561,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0070608,0,"Adventure,Animation,Comedy",1973-01-01,83,Robin Hood,Robin Hood,,,
2562,"actor,soundtrack",John Doucette,1921-01-01,1994-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0234732,,,,,,,,,
2563,actress,Peggy Ashcroft,1907-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001919,,,,,,,,,
2564,actor,Rolf Beuckert,1934-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1028131,,,,,,,,,
2565,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630858,0,Drama,1954-01-01,30,Evil for Evil,Evil for Evil,15,2,
2566,,Stewart Crosby,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4233093,,,,,,,,,
2567,"actor,writer,soundtrack",Russ Bender,1910-01-01,1969-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0070511,,,,,,,,,
2568,actor,Zohar Shtrauss,1972-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1364521,,,,,,,,,
2569,"actor,soundtrack",Richard Hope,1953-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0394037,,,,,,,,,
2570,"writer,actor,producer",Dan Snow,1978-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1909316,,,,,,,,,
2571,actress,Renee Godfrey,1919-01-01,1964-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0324021,,,,,,,,,
2572,"actress,producer,writer",Wanda Sykes,1964-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0843100,,,,,,,,,
2573,"actor,art_director,set_decorator",Derek Simmons,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1102252,,,,,,,,,
2574,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631052,0,Drama,1956-01-01,30,Tightwad Millionaire,Tightwad Millionaire,24,3,
2575,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604354,0,"Crime,Drama,Mystery",1995-01-01,,Cradle to Grave,Cradle to Grave,10,3,
2576,"actress,producer,writer",Lisa Hammer,1967-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358478,,,,,,,,,
2577,"actor,director,writer",Jean-Michel Martial,1952-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0551793,,,,,,,,,
2578,"actor,soundtrack",Willi Rose,1902-01-01,1978-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0741739,,,,,,,,,
2579,actress,Dee Carroll,1925-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0140790,,,,,,,,,
2580,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630890,0,Drama,1955-01-01,30,Katy,Katy,9,3,
2581,"actor,soundtrack",Wowie De Guzman,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0208780,,,,,,,,,
2582,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0037101,0,"Crime,Drama,Film-Noir",1944-01-01,95,"Murder, My Sweet","Murder, My Sweet",,,
2583,"editor,editorial_department,sound_department",Dulal Dutta,1925-01-01,2010-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0244891,,,,,,,,,
2584,"writer,actor,music_department",Bob Monkhouse,1928-01-01,2003-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0598257,,,,,,,,,
2585,"actor,producer,director",Andre Braugher,1962-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0105672,,,,,,,,,
2586,miscellaneous,Robert Schulmann,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0776117,,,,,,,,,
2587,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2356777,0,"Crime,Drama,Mystery",2014-01-01,55,True Detective,True Detective,,,
2588,"actor,soundtrack,composer",Gackt,1973-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1374680,,,,,,,,,
2589,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt5095742,0,Drama,2016-01-01,46,Chapter 51,Chapter 51,12,4,
2590,actor,William Smithers,1927-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0810461,,,,,,,,,
2591,actress,Leila Shikhlinskaya,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0793430,,,,,,,,,
2592,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2187297,0,"Action,Animation,Comedy",2009-01-01,26,Nadeko suneiku sono ichi,Nadeko suneiku sono ichi,9,1,
2593,"writer,miscellaneous",Hiroshi Ônogi,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1577584,,,,,,,,,
2594,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0584714,0,Drama,1965-01-01,57,Libelle bitte kommen,Libelle bitte kommen,3,3,
2595,"writer,editor,actor",Joseph Farnham,1884-01-01,1931-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0267868,,,,,,,,,
2596,"actor,soundtrack",Paul Richards,1924-01-01,1974-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0724268,,,,,,,,,
2597,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505704,0,Adventure,1960-01-01,49,Walk Through the Night,Walk Through the Night,16,1,
2598,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0416369,0,Documentary,2004-01-01,50,Extreme Archaeology,Extreme Archaeology,,,
2599,"actress,soundtrack",Mary Field,1909-01-01,1996-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0275997,,,,,,,,,
2600,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631015,0,Drama,1957-01-01,30,The Man on Top,The Man on Top,30,4,
2601,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657691,0,"Adventure,Drama,Family",1962-01-01,30,The Clown,The Clown,26,2,
2602,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0830063,0,"Animation,Comedy,Fantasy",1993-01-01,21,Cave Man,Cave Man,7,1,
2603,"cinematographer,director,camera_department",Rudolph Maté,1898-01-01,1964-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0005789,,,,,,,,,
2604,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0710725,0,"Drama,Sport,Western",1962-01-01,60,A Matter of Pride,A Matter of Pride,6,1,
2605,"writer,producer,miscellaneous",Beau Willimon,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2802722,,,,,,,,,
2606,"director,producer,writer",Sutton Roley,1922-01-01,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0738180,,,,,,,,,
2607,actress,Keiko Kitagawa,1986-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1487136,,,,,,,,,
2608,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6950386,0,"Animation,Comedy,Family",2016-01-01,,Hello Goodbye,Hello Goodbye,28,1,
2609,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630853,0,Drama,1959-01-01,30,Each Man's Island,Each Man's Island,25,6,
2610,"actor,soundtrack",Michael Winkelman,1946-01-01,1999-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0935161,,,,,,,,,
2611,"production_manager,producer,miscellaneous",Joanne Rubino,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0498513,,,,,,,,,
2612,"director,writer,camera_department",Darnell Martin,1964-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0552140,,,,,,,,,
2613,actor,Marcel Hillaire,1908-01-01,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0384787,,,,,,,,,
2614,"producer,actor,writer",Burnie Burns,1973-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002438,,,,,,,,,
2615,writer,Ben Perry,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0674978,,,,,,,,,
2616,"actor,director,writer",Zachary Bennett,1980-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0072124,,,,,,,,,
2617,"writer,actor,producer",Hiroshi Hashimoto,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0368048,,,,,,,,,
2618,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505686,0,Adventure,1960-01-01,60,The Krismen,The Krismen,5,2,
2619,"actress,soundtrack",Lisa Gaye,1935-01-01,2016-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0310846,,,,,,,,,
2620,"editor,producer,production_manager",Mairin Wilkinson,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0929442,,,,,,,,,
2621,actress,Helli Servi,1923-01-01,1990-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0785816,,,,,,,,,
2622,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0966034,0,Documentary,2004-01-01,48,Parys Mountain,Parys Mountain,4,1,
2623,,Katie Hirst,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1655783,,,,,,,,,
2624,actress,Ruth Dunning,1909-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0242959,,,,,,,,,
2625,actor,Samandar Rzayev,1945-01-01,1986-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0753529,,,,,,,,,
2626,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0195855,0,"Comedy,Drama",1988-01-01,56,The Wedding Waltz,Katsastus,,,
2627,"editor,writer,editorial_department",Mark Middis,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2363419,,,,,,,,,
2628,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630816,0,Drama,1954-01-01,30,A Family Out of Us,A Family Out of Us,21,1,
