id,venue,year,authors,title,entityUrl
1516,SIGMOD Conference,2002,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima",Archiving scientific data,conf/sigmod/BunemanKTT02
1517,SIGMOD Conference,2003,"Arvind Arasu, Hector Garcia-Molina",Extracting Structured Data from Web Pages,conf/sigmod/ArasuG03
1518,SIGMOD Record,1997,"Eric Hughes, Leonard J. Seligman, Arnon Rosenthal, Scott Renner",A Consumer Viewpoint on Mediator Languages - a Proposal for a Standard,journals/sigmod/RosenthalHRS97
1519,VLDB,2001,Yannis Kotidis,A Data Warehousing Architecture for Enabling Service Provisioning Process,conf/vldb/Kotidis01
1520,SIGMOD Conference,1995,"Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani",QBI: Query By Icons,conf/sigmod/MassariPSC95
1521,VLDB,2001,"Sriram Raghavan, Hector Garcia-Molina",Crawling the Hidden Web,conf/vldb/RaghavanG01
1522,SIGMOD Record,2003,Mario A. Nascimento,Peer-to-peer: harnessing the power of disruptive technologies,journals/sigmod/Nascimento03
1523,VLDB J.,2001,"Yaw-Huei Chen, Chi-Sheng Shih, Chiang Lee",A graph-theoretic model for optimizing queries involving methods,journals/vldb/LeeSC01
1524,SIGMOD Record,1994,"James Clifford, Ramez Elmasri, Michael D. Soo, Wolfgang K�fer, Nick Kline, Arie Segev, Suryanarayana M. Sripada, Fabio Grandi, John F. Roddick, Richard T. Snodgrass, Christian S. Jensen, Nikos A. Lorentzos, Ilsoo Ahn, Gad Ariav, Don S. Batory, T. Y. Cliff Leung, Curtis E. Dyreson, Krishna G. Kulkarni",A TSQL2 Tutorial,journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94a
1525,SIGMOD Conference,1997,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman",Dynamic Itemset Counting and Implication Rules for Market Basket Data,conf/sigmod/BrinMUT97
1526,SIGMOD Record,1998,"Hans Fritschi, Arne Koschel, G�nter von B�ltzingsloewen, Stella Gatziu",Unbundling Active Functionality,journals/sigmod/GatziuKBF98
1527,VLDB,2003,"Flip Korn, Yunyue Zhu, S. Muthukrishnan",Checks and Balances: Monitoring Data Quality Problems in Network Traffic Databases,conf/vldb/KornMZ03
1528,VLDB,1998,"Yannis Kotidis, Nick Roussopoulos",The Cubetree Storage Organization,conf/vldb/RoussopoulosK98
1529,SIGMOD Record,1995,"Sheung-lun Hung, Shan-hoi Ng",Multigranularity Locking in Multiple Job Classes Transaction Processing System,journals/sigmod/NgH95
1530,SIGMOD Conference,2001,"Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri","A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries",conf/sigmod/ChaudhuriDN01
1531,VLDB,2002,"Sihem Amer-Yahia, Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan",Optimizing the Secure Evaluation of Twig Queries,conf/vldb/ChoALS02
1532,SIGMOD Record,1996,John Gaffney,Illustra's Web DataBlade Module,journals/sigmod/Gaffney96
1533,SIGMOD Conference,1994,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",Sequence Query Processing,conf/sigmod/SeshadriLR94
1534,VLDB,1997,Kenneth R. Jacobs,Innovation in Database Management: Computer Science vs. Engineering,conf/vldb/Jacobs97
1535,SIGMOD Conference,1995,"Sridhar Ramaswamy, Paris C. Kanellakis",OODB Indexing by Class-Division,conf/sigmod/RamaswamyK95
1536,VLDB,2000,Michael J. Carey,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",conf/vldb/Carey00
1537,SIGMOD Record,2000,Costas Vassilakis,An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,journals/sigmod/Vassilakis00
1538,VLDB,2000,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",Automated Selection of Materialized Views and Indexes in SQL Databases,conf/vldb/AgrawalCN00
1539,VLDB,2001,"Vassilis J. Tsotras, Carlo Zaniolo, Shu-Yao Chien",Efficient Management of Multiversion Documents by Object Referencing,conf/vldb/ChienTZ01
1540,VLDB,2001,"Tamer Kahveci, Ambuj K. Singh",Efficient Index Structures for String Databases,conf/vldb/KahveciS01
1541,SIGMOD Conference,1996,Jiawei Han,Data Mining Techniques,conf/sigmod/Han96
1542,SIGMOD Record,1997,"Julia E. Hodges, Shekar Ramanathan",Extraction of Object-Oriented Structures from Existing Relational Databases,journals/sigmod/RamanathanH97
1543,VLDB,2002,"Benjamin W. Wah, Yixin Chen, Jianyong Wang, Guozhu Dong, Jiawei Han",Multi-Dimensional Regression Analysis of Time-Series Data Streams,conf/vldb/ChenHWW02
1544,SIGMOD Conference,2000,?,"Proceedings of the 2000 ACM SIGMOD International Conference on Management of Data, May 16-18, 2000, Dallas, Texas, USA",conf/sigmod/2000
1545,SIGMOD Record,1996,Yannis E. Ioannidis,Dynamic Information Visualization,journals/sigmod/Ioannidis96
1546,VLDB,2003,"Reagan Moore, Arun Jagatheesan, Paul Watson, Norman W. Paton",Grid Data Management Systems & Services,conf/vldb/JagatheesanMPW03
1547,SIGMOD Record,2000,"Dongwon Lee, Wesley W. Chu",Comparative Analysis of Six XML Schema Languages,journals/sigmod/LeeC00
1548,VLDB,1994,Ralf Hartmut G�ting,GraphDB: Modeling and Querying Graphs in Databases,conf/vldb/Guting94
1549,SIGMOD Record,1997,"Jim Gray, Goetz Graefe","The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules of Thumb",journals/sigmod/GrayG97
1550,VLDB,2001,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari",Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,conf/vldb/LahiriSCMC01
1551,SIGMOD Record,1997,"Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm",WWW-UDK: A Web-based Environmental Meta-Information System,journals/sigmod/KramerNKRLKLZ97
1552,ACM Trans. Database Syst.,2003,"Gottfried Vossen, Jens Lechtenb�rger",On the computation of relational view complements,journals/tods/LechtenborgerV03
1553,VLDB J.,2002,"Robert W. Irving, Malcolm P. Atkinson, Ela Hunt",Database indexing for large DNA and protein sequence collections,journals/vldb/HuntAI02
1554,VLDB,2003,"Alin Deutsch, Val Tannen",MARS: A System for Publishing XML from Mixed and Redundant Storage,conf/vldb/DeutschT03
1555,VLDB,1997,"S. Sudarshan, P. P. S. Narayan, Rama Kanneganti, H. V. Jagadish, S. Seshadri",Incremental Organization for Data Recording and Warehousing,conf/vldb/JagadishNSSK97
1556,SIGMOD Record,2003,Murali Mani,Understanding the semantics of sensor data,journals/sigmod/Mani03
1557,SIGMOD Record,2003,"Ibrahim Korpeoglu, H�seyin �zg�r Tan",Power efficient data gathering and aggregation in wireless sensor networks,journals/sigmod/TanK03
1558,SIGMOD Record,2003,Joachim Hammer,Treasurer's Message,journals/sigmod/Hammer03
1559,SIGMOD Conference,1994,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel",Multi-Step Processing of Spatial Joins,conf/sigmod/BrinkhoffKSS94
1560,VLDB J.,2001,"Quan Z. Sheng, Anne H. H. Ngu, Ron Lei, Du Q. Huynh",Combining multi-visual features for efficient indexing in a large image database,journals/vldb/NguSHL01
1561,SIGMOD Record,1996,"Eric Freeman, David Gelernter",Lifestreams: A Storage Model for Personal Data,journals/sigmod/FreemanG96
1562,VLDB J.,2003,Chen Li,Computing complete answers to queries in the presence of limited access patterns,journals/vldb/Li03
1563,SIGMOD Record,2002,"Alexandra Poulovassilis, Mark Levene",Report on the Web Dynamics Workshop at WWW 2002,journals/sigmod/LeveneP02
1564,SIGMOD Conference,1994,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,conf/sigmod/HanFHCC94
1565,ACM Trans. Database Syst.,1998,"David Konopnicki, Oded Shmueli",Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,journals/tods/KonopnickiS98
1566,VLDB,2002,"Chenyi Xia, Wynne Hsu, Keng Lik Teo, Mong-Li Lee, Beng Chin Ooi, Pranab Kumar Mohanty",Advanced Database Technologies in a Diabetic Healthcare System,conf/vldb/HsuLOMTX02
1567,SIGMOD Conference,2000,"C�sar A. Galindo-Legaria, Florian Waas","Counting, Enumerating, and Sampling of Execution Plans in a Cost-Based Query Optimizer",conf/sigmod/WaasG00
1568,SIGMOD Conference,1995,"Jan Flokstra, Annita N. Wilschut, Peter M. G. Apers",Parallel Evaluation of Multi-Join Queries,conf/sigmod/WilschutFA95
1569,SIGMOD Conference,2000,"Erik Riedel, Gregory R. Ganger, David Nagle, Christos Faloutsos",Data Mining on an OLTP System (Nearly) for Free,conf/sigmod/RiedelFGN00
1570,VLDB,2003,"Srinath Srinivasa, Sujit Kumar",A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,conf/vldb/SrinivasaK03
1571,SIGMOD Record,1999,"Klaus R. Dittrich, Ruxandra Domenig",An Overview and Classification of Mediated Query Systems,journals/sigmod/DomenigD99
1572,VLDB,2000,"Kaushik Chakrabarti, Sharad Mehrotra",Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,conf/vldb/ChakrabartiM00
1573,SIGMOD Record,2002,Ibrahim Cingil,Supporting Global User Profiles Through Trusted Authorities,journals/sigmod/Cingil02
1574,SIGMOD Record,1996,?,MQSeries and CICS Link for Lotus Notes,journals/sigmod/Anonymous96
1575,VLDB,2001,"Runping Qi, Kuan Yee, Brian Sterling, Nicolas Adiba, Michael J. Carey, David Rieber, Steve Kirsch, Michael Blow, John C. Shafer, Rajendra Panwar, Daniela Florescu, Mary Roth, Dan Wineman, David Li, Bert Van der Linden, Brian Vickery, Ivan Oprencak, Tolga Urhan",The Propel Distributed Services Platform,conf/vldb/CareyKRLABFLOPQRSSUVWY01
1576,SIGMOD Record,1999,"Kinji Ono, Jihad Boulos",Cost Estimation of User-Defined Methods in Object-Relational Database Systems,journals/sigmod/BoulosO99
1577,ACM Trans. Database Syst.,1998,Peter Z. Revesz,Safe Query Languages for Constraint Databases,journals/tods/Revesz98
1578,SIGMOD Conference,2003,"Theodore Johnson, Charles D. Cranor, Oliver Spatscheck, Vladislav Shkapenyuk",Gigascope: A Stream Database for Network Applications,conf/sigmod/CranorJSS03
1579,VLDB,2003,"Martin Theobald, Sergej Sizov, Jens Graupmann",From Focused Crawling to Expert Information: an Application Framework for Web Exploration and Portal Generation,conf/vldb/SizovGT03
1580,VLDB J.,1998,Jia Liang Han,"Optimizing Relational Queries in Connection Hypergraphs: Nested Queries, Views, and Binding Propagations",journals/vldb/Han98
1581,SIGMOD Conference,1998,"Tolga Urhan, Michael J. Franklin, Laurent Amsaleg",Cost Based Query Scrambling for Initial Delays,conf/sigmod/UrhanFA98
1582,VLDB,1998,"Ethan L. Miller, Theodore Johnson",Performance Measurements of Tertiary Storage Devices,conf/vldb/JohnsonM98
1583,VLDB,2003,"Tianqiu Wang, Yannis Papakonstantinou, Nick Koudas, Vagelis Hristidis, Andrey Balmin, Divesh Srivastava",A System for Keyword Proximity Search on XML Databases,conf/vldb/BalminHKPSW03
1584,VLDB,2001,"Giansalvatore Mecca, Valter Crescenzi, Paolo Merialdo",RoadRunner: Towards Automatic Data Extraction from Large Web Sites,conf/vldb/MeccaCM01
1585,SIGMOD Record,2002,Rafael Camps,From Ternary Relationship to Relational Tables: A Case Against Common Beliefs,journals/sigmod/Camps02
1586,SIGMOD Conference,2001,"Shivnath Babu, Rajeev Rastogi, Minos N. Garofalakis",SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,conf/sigmod/BabuGR01
1587,SIGMOD Conference,1994,"A. Prasad Sistla, Ouri Wolfson, Yixiu Huang",Data Replication for Mobile Computers,conf/sigmod/HuangSW94
1588,SIGMOD Conference,2000,"Sophie Cluet, Fanny Wattez, V�ronique Benzaken, Guy Ferran, Christian Fiegel",Benchmarking Queries over Trees: Learning the Hard Truth the Hard Way,conf/sigmod/WattezCBFF00
1589,SIGMOD Conference,2002,"Wolfgang Wonner, Gerhard Weikum, Michael Gillmann",Workflow management with service quality guarantees,conf/sigmod/GillmannWW02
1590,VLDB,2001,Luciana Duranti,The Long-Term Preservation of Authentic Electronic Records,conf/vldb/Duranti01
1591,SIGMOD Conference,1995,Robert S. Epstein,Keynote Address,conf/sigmod/Epstein95
1592,VLDB,1995,Stuart E. Madnick,From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity,conf/vldb/Madnick95
1593,SIGMOD Conference,2003,"Mehul A. Shah, Wei Hong, Sirish Chandrasekaran, Samuel Madden, Sailesh Krishnamurthy, Amol Deshpande, Frederick Reiss, Owen Cooper, Joseph M. Hellerstein, Michael J. Franklin",TelegraphCQ: Continuous Dataflow Processing,conf/sigmod/ChandrasekaranCDFHHKMRS03
1594,VLDB,2000,"Curtis E. Dyreson, Torben Bach Pedersen, Christian S. Jensen",The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies,conf/vldb/PedersenJD00
1595,VLDB,2003,"Richard T. Snodgrass, Dengfeng Gao",Temporal Slicing in the Evaluation of XML Queries,conf/vldb/GaoS03
1596,SIGMOD Record,1998,"Daniela Florescu, Alberto O. Mendelzon, Alon Y. Levy",Database Techniques for the World-Wide Web: A Survey,journals/sigmod/FlorescuLM98
1597,VLDB,2000,"Frans Coetzee, Steve Lawrence, Michelangelo Diligenti, Marco Gori, C. Lee Giles",Focused Crawling Using Context Graphs,conf/vldb/DiligentiCLGG00
1598,SIGMOD Conference,1999,"Sharad Mehrotra, Kaushik Chakrabarti",Efficient Concurrency Control in Multidimensional Access Methods,conf/sigmod/ChakrabartiM99
1599,SIGMOD Conference,1995,"Stefan De�loch, Joachim Thomas, Nelson Mendon�a Mattos",Design and Implementation of Advanced Knowledge Processing in the KDMS KRISYS (Demonstration Description),conf/sigmod/ThomasDM95
1600,VLDB,2003,"Matthew Huras, Leslie Cranston, Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Timothy Malkemus, Tony Lai",Efficient Query Processing for Multi-Dimensionally Clustered Tables in DB2,conf/vldb/BhattacharjeePMLCH03
1601,SIGMOD Record,2003,Victor Vianu,A Web odyssey: from codd to XML,journals/sigmod/Vianu03
1602,SIGMOD Conference,2000,"Hans-Peter Kriegel, Raymond T. Ng, Markus M. Breunig, J�rg Sander",LOF: Identifying Density-Based Local Outliers,conf/sigmod/BreunigKNS00
1603,SIGMOD Conference,2002,"Chris Olston, Jennifer Widom",Best-effort cache synchronization with source cooperation,conf/sigmod/OlstonW02
1604,SIGMOD Conference,1994,"Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",Predictive Dynamic Load Balancing of Parallel and Distributed Rule and Query Processing,conf/sigmod/DewanSHH94
1605,VLDB,2003,"Divyakant Agrawal, Amr El Abbadi, Hailing Yu",Tabular Placement of Relational Data on MEMS-based Storage Devices,conf/vldb/YuAA03
1606,VLDB,2003,Christoph Koch,Efficient Processing of Expressive Node-Selecting Queries on XML Data in Secondary Storage: A Tree Automata-based Approach,conf/vldb/Koch03
1607,SIGMOD Record,1995,Xiaolei Qian,"Opportunities at ARPA, NSF, and Elsewhere",journals/sigmod/Qian95b
1608,SIGMOD Conference,1996,"Takeshi Tokuyama, Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita",SONAR: System for Optimized Numeric AssociationRules,conf/sigmod/FukudaMMT96a
1609,VLDB J.,2003,"Anne H. H. Ngu, Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid, Boualem Benatallah",Business-to-business interactions: issues and enabling technologies,journals/vldb/MedjahedBBNE03
1610,VLDB,2002,"Vagelis Hristidis, Yannis Papakonstantinou",DISCOVER: Keyword Search in Relational Databases,conf/vldb/HristidisP02
1611,VLDB J.,1995,"Richard Jeffers, Divyakant Agrawal, Amr El Abbadi, Lijing Lin",Ordered Shared Locks for Real-Time Databases,journals/vldb/AgrawalAJL95
1612,SIGMOD Conference,2002,?,"Proceedings of the 2002 ACM SIGMOD International Conference on Management of Data, Madison, Wisconsin, June 3-6, 2002",conf/sigmod/2002
1613,SIGMOD Conference,2003,"Per-�ke Larson, Jingren Zhou, Jonathan Goldstein",Transparent Mid-Tier Database Caching in SQL Server,conf/sigmod/LarsonG03
1614,SIGMOD Conference,2003,"Etzard Stolte, Thomas R. Gross, Gustavo Alonso, Christoph von Praun",Scientific Data Repositories: Designing for a Moving Target,conf/sigmod/StoltePAG03
1615,SIGMOD Conference,1998,"Piero Fraternali, Stefano Paraboschi, Stefano Ceri",The IDEA Web Lab,conf/sigmod/CeriFP98
1616,SIGMOD Record,1997,"Anthony Tomasic, Eric Simon",Improving Access to Environmental Data Using Context Information,journals/sigmod/TomasicS97
1617,SIGMOD Conference,1995,"H. Stephen Au-Yeung, C. P. Chou, Yuh-Ming Shyy",VERSANT Replication: Supporting Fault-Tolerant Object Databases,conf/sigmod/Shyy95
1618,VLDB,2001,"Stanley B. Zdonik, Demet Aksoy, Michael J. Franklin",Data Staging for On-Demand Broadcast,conf/vldb/AksoyZF01
1619,SIGMOD Record,1998,Praveen Seshadri,Predator: A Resource for Database Research,journals/sigmod/Seshadri98
1620,VLDB,1995,"Kazuhiko Mogi, Masaru Kitsuregawa",Hot Block Clustering for Disk Arrays with Dynamic Striping,conf/vldb/MogiK95
1621,VLDB,1995,"Jeffrey F. Naughton, Janet L. Wiener",OODB Bulk Loading Revisited: The Partitioned-List Approach,conf/vldb/WienerN95
1622,SIGMOD Record,2003,"Wolf Siberski, Wolfgang Nejdl, Michael Sintek",Design issues and challenges for RDF- and schema-based peer-to-peer systems,journals/sigmod/NejdlSS03
1623,VLDB J.,2000,"Ada Wai-Chee Fu, Yin-Ling Cheung, Yiu Sang Moon, Polly Mei-shuen Chan",Dynamic vp-Tree Indexing for n-Nearest Neighbor Search Given Pair-Wise Distances,journals/vldb/FuCCM00
1624,SIGMOD Conference,2000,"Yuguo Liu, Yiming Li, Pradip Kanjamala, Rui Chen, Yonghui Wang, Peter Z. Revesz",The MLPQ/GIS Constraint Database System,conf/sigmod/ReveszCKLLW00
1625,VLDB,2002,"Laks V. S. Lakshmanan, Xiaodong Zhou, Raymond T. Ng, Theodore Johnson, Christine Xing Wang",The Generalized MDL Approach for Summarization,conf/vldb/LakshmananNWZJ02
1626,VLDB,2002,"K. Sel�uk Candan, Wang-Pin Hsiung, Oliver Po, Divyakant Agrawal, Wen-Syan Li",View Invalidation for Dynamic Content Caching in Multitiered Architectures,conf/vldb/CandanALPH02
1627,VLDB,2002,"Shetal Shah, Krithi Ramamritham, Prashant J. Shenoy",Maintaining Coherency of Dynamic Data in Cooperating Repositories,conf/vldb/ShahRS02
1628,SIGMOD Record,2002,Richard T. Snodgrass,TODS Perceptions and Misconceptions,journals/sigmod/Snodgrass02a
1629,SIGMOD Conference,1996,"Balakrishna R. Iyer, Jeffrey Scott Vitter, P. Krishnan",Estimating Alphanumeric Selectivity in the Presence of Wildcards,conf/sigmod/KrishnanVI96
1630,SIGMOD Record,2003,Vijay Kumar,Sensor: the atomic computing particle,journals/sigmod/Kumar03
1631,VLDB,1996,"Surajit Chaudhuri, Kyuseok Shim",Optimization of Queries with User-defined Predicates,conf/vldb/ChaudhuriS96
1632,SIGMOD Conference,1997,"Anastassia Ailamaki, Andrew Therber, Yannis E. Ioannidis, Anand Narayanan, Miron Livny",ZOO: A Desktop Emperiment Management Environment,conf/sigmod/IoannidisLANT97
1633,SIGMOD Record,1999,"Kaippallimalil J. Jacob, Dennis Shasha",FinTime - A Financial Time Series Benchmark,journals/sigmod/JacobS99
1634,SIGMOD Conference,1995,"Leonid Libkin, Timothy Griffin",Incremental Maintenance of Views with Duplicates,conf/sigmod/GriffinL95
1635,SIGMOD Record,1994,Hartmut Wedekind,Are the Terms Version and Variant Orthogonal to One Another? A Critical Assessment of the STEP Standardization,journals/sigmod/Wedekind94
1636,SIGMOD Record,2000,"Rachel Pottinger, Alon Y. Halevy, Philip A. Bernstein",A Vision of Management of Complex Models,journals/sigmod/BernsteinHP00
1637,VLDB J.,2003,"Roger H. L. Chiang, Ee-Peng Lim, Chua Eng Huang Cecil",Instance-based attribute identification in database integration,journals/vldb/ChuaCL03
1638,SIGMOD Conference,1994,"William J. McIver Jr., Roger King","Self-Adaptive, On-Line Reclustering of Complex Object Data",conf/sigmod/McIverK94
1639,SIGMOD Record,2003,"Mitch Cherniack, Kenneth A. Ross, Gottfried Vossen",Reminiscences on Influential Papers,journals/sigmod/CherniakV03
1640,SIGMOD Record,1995,?,Calls for Papers and Announcements,journals/sigmod/X95a
1641,VLDB,1996,"Christos Faloutsos, Volker Gaede",Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,conf/vldb/FaloutsosG96
1642,VLDB,1996,A. R. Dasgupta,Large Databases for Remote Sensing and GIS,conf/vldb/Dasgupta96
1643,VLDB,2000,"Barbara T. Bauldock, Gladys A. Cotter",Biodiversity Informatics Infrastructure: An Information Commons for the Biodiversity Community,conf/vldb/CotterB00
1644,SIGMOD Record,2000,"Till Westmann, Sven Helmer, Guido Moerkotte, Donald Kossmann",The Implementation and Performance of Compressed Databases,journals/sigmod/WestmannKHM00
1645,SIGMOD Record,2000,"Christos H. Papadimitriou, Anant Jhingran, Yannis E. Ioannidis, Kenneth A. Ross",Reminiscences on Influential Papers,journals/sigmod/RossIJP00
1646,VLDB,2000,"Thomas Seidl, Marco P�tke, Hans-Peter Kriegel",Managing Intervals Efficiently in Object-Relational Databases,conf/vldb/KriegelPS00
1647,SIGMOD Conference,1994,"Benny Souder, Bob Jenkins, Lip Boon Doo, Peter Lim, Gordon Smith, Dean Daniels, Curtis Elsbernd, Gary Hallmark, Alan Downing, Jim Stamos, Sandeep Jain",Oracle's Symmetric Replication Technology and Implications for Application Design,conf/sigmod/DanielsDDEHJJLSSS94
1648,VLDB J.,1995,"Seth J. White, David J. DeWitt",QuickStore: A High Performance Mapped Object Store,journals/vldb/WhiteD95
1649,SIGMOD Conference,2000,"Hartmut Liefke, Dan Suciu",XMILL: An Efficient Compressor for XML Data,conf/sigmod/LiefkeS00
1650,VLDB,1997,"Nick Roussopoulos, Christos Faloutsos, Timos K. Sellis",Multidimensional Access Methods: Trees Have Grown Everywhere,conf/vldb/SellisRF97
1651,SIGMOD Conference,2002,"Nicolas Bruno, Surajit Chaudhuri",Exploiting statistics on query expressions for optimization,conf/sigmod/BrunoC02
1652,VLDB,1994,"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",On Index Selection Schemes for Nested Object Hierarchies,conf/vldb/ChawatheCY94
1653,VLDB,1999,"Mark G. L. M. van Doorn, Arjen P. de Vries, Henk M. Blanken, Peter M. G. Apers",The Mirror MMDBMS Architecture,conf/vldb/VriesDBA99
1654,SIGMOD Record,2000,"Ming-Chien Shan, Fabio Casati, Umeshwar Dayal",VLDB Workshop on Technologies in E-Services (TES),journals/sigmod/CasatiDS00
1655,VLDB J.,1996,"Thodoros Topaloglou, Adel Shrufi, Vinay K. Chaudhri, Dimitris Plexousakis, John Mylopoulos",Building Knowledge Base Management Systems,journals/vldb/MylopoulosCPST96
1656,SIGMOD Record,2001,"Wei Fan, Wenke Lee",Mining System Audit Data: Opportunities and Challenges,journals/sigmod/LeeF01
1657,VLDB,1998,"Weiyi Meng, Naphtali Rishe, Clement T. Yu, King-Lup Liu, Xiaodong Wang, Yuhsi Chang",Determining Text Databases to Search in the Internet,conf/vldb/MengLYWCR98
1658,VLDB,2002,"Rajeev Rastogi, Minos N. Garofalakis, Chee Yong Chan",RE-Tree: An Efficient Index Structure for Regular Expressions,conf/vldb/ChanGR02
1659,SIGMOD Conference,1994,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,conf/sigmod/BryanMCLG94
1660,SIGMOD Conference,2000,"Kevin S. Beyer, Roberta Cochrane, Kenneth Salem, Bruce G. Lindsay",How To Roll a Join: Asynchronous Incremental View Maintenance,conf/sigmod/SalemBCL00
1661,ACM Trans. Database Syst.,1996,"Stefano Ceri, Elena Baralis, Stefano Paraboschi",Modularization Techniques for Active Rules Design,journals/tods/BaralisCP96
1662,VLDB,1995,"Fabrizio Ferrandina, Guy Ferran, Thorsten Meyer, Roberto Zicari, Jo�lle Madec",Schema and Database Evolution in the O2 Object Database System,conf/vldb/FerrandinaMZFM95
1663,VLDB,2001,"Alfons Kemper, Christian Wiesner",Hyperqueries: Dynamic Distributed Query Processing on the Internet,conf/vldb/WiesnerK01
1664,VLDB,1999,"Jason McHugh, Jennifer Widom",Query Optimization for XML,conf/vldb/McHughW99
1665,SIGMOD Conference,1995,Donald R. Deutsch,Objects and SQL: Strange Relations? Panel,conf/sigmod/Deutsch95
1666,VLDB J.,1997,"Karl Aberer, Xiaoya Yang, Klemens B�hm, Erich J. Neuhold",Structured Document Storage and Refined Declarative and Navigational Access Mechanisms in HyperStorM,journals/vldb/BohmAnY97
1667,SIGMOD Conference,1999,"Demet Aksoy, Mehmet Altinel, Stanley B. Zdonik, Thomas Baby, William Shapiro, Michael J. Franklin",DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,conf/sigmod/AltinelABFSZ99
1668,SIGMOD Conference,2001,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",Using the Golden Rule of Sampling for Query Estimation,conf/sigmod/WuAA01
1669,VLDB,1999,"Joel H. Saltz, John Burgess, Felipe Cari�o, William O'Connell","Active Storage Hierarchy, Database Systems and Applications - Socratic Exegesis",conf/vldb/CarinoOBS99
1670,SIGMOD Conference,1999,"Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung",Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,conf/sigmod/LeeKC99
1671,SIGMOD Conference,1999,"Linas Bukauskas, Curtis E. Dyreson, Michael H. B�hlen",The Jungle Database Search Engine,conf/sigmod/BohlenBD99
1672,SIGMOD Record,1999,Arun Hampapur,Semantic Video Indexing: Approach and Issue,journals/sigmod/Hampapur99
1673,VLDB,2002,"Anastasio Molano, Alberto Pan, Paula Montoto, Juan Raposo, Luc�a Ardao, Manuel �lvarez, Vicente Orjales, �ngel Vi�a, Justo Hidalgo",The Denodo Data Integration Platform,conf/vldb/PanRAMOHAMV02
1674,SIGMOD Record,2001,"Yo�lle S. Maarek, David Carmel, Aya Soffer",XML and Information Retrieval: a SIGIR 2000 Workshop,journals/sigmod/CarmelMS01
1675,VLDB J.,1999,"Alfons Kemper, Ehud Gudes, Natalija Krivokapic",Deadlock Detection in Distributed Database Systems: A New Algorithm and a Comparative Performance Analysis,journals/vldb/KrivokapicKG99
1676,VLDB,2002,C. Mohan,Application Servers and Associated Technologies,conf/vldb/Mohan02
1677,VLDB,2000,"Luis Gravano, Junyan Ding, Narayanan Shivakumar",Computing Geographical Scopes of Web Resources,conf/vldb/DingGS00
1678,SIGMOD Conference,1998,"Ray Suorsa, John Nauman","Developing a High Traffic, Read-Only Web Site",conf/sigmod/NaumanS98
1679,SIGMOD Conference,1998,"Hector Garcia-Molina, Murty Valiveti, Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Vasilis Vassalos, Yannis Papakonstantinou",Capability Based Mediation in TSIMMIS,conf/sigmod/LiYVGPUV98
1680,SIGMOD Conference,1996,"Mitch Cherniack, Stanley B. Zdonik",Rule Languages and Internal Algebras for Rule-Based Optimizers,conf/sigmod/CherniackZ96
